City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
京都,,,,,
,オープンオフィス京都烏丸,"¥9,900",-,"¥14,900",-
,オープンオフィス京都河原町御池,"¥9,900","¥13,900","¥14,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
仙台,,,,,
,オープンオフィス仙台青葉通り,"¥9,900","¥13,900","¥15,900",-
,オープンオフィス仙台駅前,"¥14,900",-,"¥20,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
千葉,,,,,
,千葉大栄ビル,"¥9,900","¥18,900","¥22,900","¥27,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
博多,,,,,
,JRJP博多ビル,"¥17,900","¥24,900","¥31,900","¥39,900"
,アクア博多,"¥11,900","¥13,900","¥19,900","¥26,900"
,オープンオフィス博多駅前通り,"¥9,900",-,"¥18,900",-
,博多駅筑紫口,"¥9,900","¥13,900","¥17,900","¥21,900"
,福岡天神南,"¥11,900","¥13,900","¥18,900","¥25,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
名古屋,,,,,
,名古屋栄ガスビルディング,"¥9,900","¥16,900","¥18,900","¥23,900"
,オープンオフィス名古屋丸の内,"¥13,900","¥16,900","¥18,900",-
,名駅,"¥14,900","¥18,900","¥30,900","¥41,900"
,広小路ガーデンアベニュー,"¥11,900","¥18,900","¥27,900","¥39,900"
,オープンオフィス名駅南,"¥14,900",-,"¥19,900",-
,名古屋駅東口,"¥9,900","¥18,900","¥19,900","¥24,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
大分,,,,,
,オープンオフィス大分,"¥9,900",-,"¥15,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
大阪,,,,,
,オープンオフィス新大阪北,"¥7,900","¥18,900","¥19,900",-
,梅田阪急グランドビル,"¥17,900","¥18,900","¥30,900","¥41,900"
,阪急ターミナルビル,"¥17,900","¥18,900","¥30,900","¥41,900"
,大阪国際ビルディング,"¥14,900","¥18,900","¥25,900","¥36,900"
,新大阪阪急ビル,"¥11,900","¥18,900","¥24,900","¥35,900"
,パシフィックマークス西梅田,"¥11,900","¥18,900","¥23,900","¥34,900"
,オープンオフィス京阪淀屋橋,"¥9,900","¥13,900","¥15,900",-
,なんばパークス,"¥11,900","¥18,900","¥25,900","¥32,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
小倉,,,,,
,オープンオフィス小倉,"¥9,900",-,"¥15,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
岡山,,,,,
,岡山第一セントラル,"¥9,900","¥13,900","¥15,900","¥20,900"
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
広島,,,,,
,ひろしまハイビル21,"¥9,900","¥18,900","¥25,900","¥31,900"
,オープンオフィス広島大手町,"¥7,900",-,"¥21,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
新潟,,,,,
,オープンオフィス新潟,"¥11,900",-,"¥20,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
札幌,,,,,
,札幌大通,¥14.900,"¥18,900","¥19,900","¥25,900"
,オープンオフィス札幌南,"¥7,900","¥13,900","¥15,900",-
,,,,,
City Name,Location Name,Mailbox Plus,Telephone Answering,Virtual Office,Virtual Office Plus
東京,,,,,
,丸の内パシフィックセンチュリープレイス,"¥20,900","¥24,900","¥41,900","¥60,900"
,丸の内鉄鋼ビルディング,"¥20,900","¥24,900","¥41,900","¥60,900"
,大手町ファーストスクエア,"¥17,900","¥24,900","¥34,900","¥49,900"
,秋葉原南,"¥7,900","¥24,900","¥25,900","¥29,900"
,麹町,"¥7,900","¥24,900","¥25,900","¥29,900"
,オープンオフィス神保町,"¥9,900",-,"¥25,900",-
,銀座三丁目,"¥17,900","¥24,900","¥37,900","¥48,900"
